bin	genus_type	genus_proposed	species_proposed	language	gender	genus_explanation	species_explanation	genus_status	species_status	novelty_method	accession	sequencing_technology	binning_workflow	genome_size	total_contigs	coverage	GC_content	completeness_estimate	contamination_estimate	count_16S	count_tRNA	taxonomy_GTDB	taxonomy_proposed	taxonomy_SILVA	taxonomy_SILVA_perc	sample_name	sample_country	longitude	latitude	sample_type	sample_habitat_broad	sample_habitat_local
MFD05088.bin.1.169	Y	Tillitsevita	tellurica	N.L.	fem.	Microbe found nearby Tillitse	A species found in soil	Formerly ''JACDAN01'' in GTDB R220	Formerly ''uncultured bacterium'' in Silva 138.2	GTDB marker genes and 16S rRNA	GCA_963807705.1	Oxford Nanopore PromethION	mmlong2	3343850	8	24.4144	68.05	93.21	1.61	1	23	d__Bacteria;p__Actinomycetota;c__Thermoleophilia;o__Gaiellales;f__Gaiellaceae;g__JACDAN01;s__Unclassified	d__Bacteria;p__Actinomycetota;c__Thermoleophilia;o__Gaiellales;f__Gaiellaceae;g__Tillitsevita;s__Tillitsevita tellurica	d__Bacteria;p__Actinomycetota;c__Thermoleophilia;o__Gaiellales;f__Incertae Sedis;g__Incertae Sedis;s__uncultured bacterium	98.9	MFD05088	Denmark	11.09569745	54.7141524	Soil	Fields	"Barley, Spring"
MFD08416.bin.1.19	Y	Bevtoftiana	affinis	N.L.	fem.	Microbe found nearby Bevtoft	A species related to but distinct from the existing species	Formerly ''Gp1-AA133'' in GTDB R220	Formerly ''uncultured bacterium'' in Silva 138.2	GTDB marker genes and 16S rRNA	GCA_963850425.1	Oxford Nanopore PromethION	mmlong2	5342543	8	20.69718	58.3	99.3	0.65	1	23	d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__Terriglobales;f__SbA1;g__Gp1-AA133;s__Unclassified	d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__Terriglobales;f__SbA1;g__Bevtoftiana;s__Bevtoftiana affinis	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Terriglobales;f__Incertae Sedis;g__Incertae Sedis;s__uncultured bacterium	98.9	MFD08416	Denmark	9.235554331	55.18136402	Soil	Fields	"Solanales, Potato, Starch"
MFD02579.bin.1.29	Y	Byrumivivens	contiguus	N.L.	masch.	Microbe found nearby Byrum	A species related to but distinct from the existing species	Formerly ''JAJPJE01'' in GTDB R220	Formerly ''uncultured bacterium'' in Silva 138.2	GTDB marker genes and 16S rRNA	GCA_963742895.1	Oxford Nanopore PromethION	mmlong2	5320913	9	30.24076	56.44	93.11	0.85	1	22	d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__Terriglobales;f__JAJPJE01;g__JAJPJE01;s__Unclassified	d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__Terriglobales;f__Byrumiviventaceae;g__Byrumivivens;s__Byrumivivens contiguus	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Terriglobales;f__Incertae Sedis;g__Incertae Sedis;s__uncultured bacterium	99.7	MFD02579	Denmark	10.9905	57.2803	Soil	"Bogs, mires and fens"	Rhynchosporion depressions
MFD04752.bin.1.152	Y	Vonsildiana	terrestris	N.L.	fem.	Microbe found nearby Vonsild	A species found in soil	Formerly ''RAAP-2'' in GTDB R220	sp. nov.	GTDB marker genes and 16S rRNA	GCA_963849705.1	Oxford Nanopore PromethION	mmlong2	2395318	9	28.27724	62.71	95	1.73	1	21	d__Bacteria;p__Actinomycetota;c__Acidimicrobiia;o__Acidimicrobiales;f__RAAP-2;g__RAAP-2;s__Unclassified	d__Bacteria;p__Actinomycetota;c__Acidimicrobiia;o__Acidimicrobiales;f__Vonsildianaceae;g__Vonsildiana;s__Vonsildiana terrestris	d__Bacteria;p__Actinomycetota;c__Acidimicrobiia;o__Acidimicrobiales;f__Acidimicrobiaceae;g__Incertae Sedis;s__uncultured bacterium	97.8	MFD04752	Denmark	9.427	55.4324	Soil	"Bogs, mires and fens"	Degraded raised bog
MFD02159.bin.1.20	Y	Granslevivita	septentrionalis	N.L.	fem.	Microbe found nearby Granslev	A species from the north	Formerly ''CALGFI01'' in GTDB R220	Formerly ''metagenome'' in Silva 138.2	GTDB marker genes and 16S rRNA	GCA_963823255.1	Oxford Nanopore PromethION	mmlong2	3045788	10	31.702293	69.91	90.27	0.56	1	21	d__Bacteria;p__Actinomycetota;c__UBA4738;o__UBA4738;f__HRBIN12;g__CALGFI01;s__Unclassified	d__Bacteria;p__Actinomycetota;c__Bonnerupiia;o__Granslevivitales;f__Granslevivitaceae;g__Granslevivita;s__Granslevivita septentrionalis	d__Bacteria;p__Actinomycetota;c__MB-A2-108;o__Incertae Sedis;f__Incertae Sedis;g__Incertae Sedis;s__metagenome	99.3	MFD02159	Denmark	9.9165	56.3377	Soil	Grassland formations	Hydrophilous tall-herb swamp
MFD05537.bin.c.2	Y	Oesbyana	terrestris	N.L.	fem.	Microbe found nearby Oesby	A species found in soil	Formerly ''JADGNZ01'' in GTDB R220	Formerly ''uncultured bacterium'' in Silva 138.2	GTDB marker genes and 16S rRNA	GCA_963719365.1	Oxford Nanopore PromethION	mmlong2	5889301	1	31.78419	61.56	99.17	0.64	1	23	d__Bacteria;p__Acidobacteriota;c__Thermoanaerobaculia;o__Gp7-AA8;f__Gp7-AA8;g__JADGNZ01;s__Unclassified	d__Bacteria;p__Acidobacteriota;c__Thermoanaerobaculia;o__Oesbyanales;f__Oesbyanaceae;g__Oesbyana;s__Oesbyana terrestris	d__Bacteria;p__Acidobacteriota;c__Holophagae;o__Subgroup 7;f__Incertae Sedis;g__Incertae Sedis;s__uncultured bacterium	99.1	MFD05537	Denmark	9.7462	55.2524	Soil	Forests	Temperate forests
MFD03899.bin.c.1	Y	Marsletimorpha	sediminis	N.L.	fem.	Microbe found nearby Marslet	A species found in sediments	Formerly ''XYB1-FULL-47-11'' in GTDB R220	sp. nov.	GTDB marker genes and 16S rRNA	GCA_963701185.1	Oxford Nanopore PromethION	mmlong2	995214	1	27.01932	47.74	98.72	1.57	1	19	d__Bacteria;p__Patescibacteria;c__Microgenomatia;o__UBA10105;f__UBA927;g__XYB1-FULL-47-11;s__Unclassified	d__Bacteria;p__Patescibacteria;c__Microgenomatia;o__Marsletimorphales;f__Marsletimorphaceae;g__Marsletimorpha;s__Marsletimorpha sediminis	d__Bacteria;p__Patescibacteria;c__Microgenomatia;o__Candidatus Gottesmanbacteria;f__Incertae Sedis;g__Incertae Sedis;s__Candidatus Gottesmanbacteria bacterium RIFOXYB1_FULL_47_11	86.8	MFD03899	Denmark	10.1547	56.0667	Sediment	Freshwater	"Rainwater basin, City"
MFD05537.bin.1.28	Y	Oesbybacterium	simile	N.L.	neut.	Microbe found nearby Oesby	A species related to but distinct from the existing species	Formerly ''PALSA-600'' in GTDB R220	Formerly ''uncultured bacterium'' in Silva 138.2	GTDB marker genes and 16S rRNA	GCA_963774605.1	Oxford Nanopore PromethION	mmlong2	3272068	3	26.98028	68.59	90.97	0.91	1	23	d__Bacteria;p__Actinomycetota;c__Thermoleophilia;o__Gaiellales;f__Gaiellaceae;g__PALSA-600;s__Unclassified	d__Bacteria;p__Actinomycetota;c__Thermoleophilia;o__Gaiellales;f__Gaiellaceae;g__Oesbybacterium;s__Oesbybacterium simile	d__Bacteria;p__Actinomycetota;c__Thermoleophilia;o__Gaiellales;f__Incertae Sedis;g__Incertae Sedis;s__uncultured bacterium	99.3	MFD05537	Denmark	9.7462	55.2524	Soil	Forests	Temperate forests
MFD04428.bin.1.167	Y	Outrupibacterium	humicum	N.L.	neut.	Microbe found nearby Outrup	A species found in soil	Formerly ''Fen-183'' in GTDB R220	sp. nov.	GTDB marker genes and 16S rRNA	GCA_963798215.1	Oxford Nanopore PromethION	mmlong2	4118545	5	35.55784	69.99	90.01	0	1	21	d__Bacteria;p__Acidobacteriota;c__Thermoanaerobaculia;o__UBA5066;f__UBA5066;g__Fen-183;s__Unclassified	d__Bacteria;p__Acidobacteriota;c__Thermoanaerobaculia;o__Outrupibacteriales;f__Outrupibacteriaceae;g__Outrupibacterium;s__Outrupibacterium humicum	d__Bacteria;p__Acidobacteriota;c__Holophagae;o__Subgroup 7;f__Incertae Sedis;g__Incertae Sedis;s__uncultured delta proteobacterium	98.2	MFD04428	Denmark	8.3158	55.7148	Soil	Grassland formations	Molinia meadows
MFD02199.bin.1.6	Y	Pjedstedimen	terreus	N.L.	neut.	Microbe found nearby Pjedsted	A species found in soil	Formerly ''Gp6-AA45'' in GTDB R220	sp. nov.	GTDB marker genes and 16S rRNA	GCA_963724725.1	Oxford Nanopore PromethION	mmlong2	6825655	5	19.911621	64.84	95.12	3.52	1	23	d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;f__UBA2999;g__Gp6-AA45;s__Unclassified	d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;f__Pjedstedimenaceae;g__Pjedstedimen;s__Pjedstedimen terreus	d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;f__Incertae Sedis;g__Incertae Sedis;s__uncultured bacterium	97.8	MFD02199	Denmark	9.655	55.5948	Soil	Grassland formations	Hydrophilous tall-herb swamp
MFD02832.bin.1.27	Y	Nylarskeriana	proxima	N.L.	fem.	Microbe found nearby Nylarsker	A species related to but distinct from the existing species	Formerly ''JAUYQR01'' in GTDB R220	Formerly ''uncultured bacterium'' in Silva 138.2	GTDB marker genes and 16S rRNA	GCA_963822435.1	Oxford Nanopore PromethION	mmlong2	3783595	6	68.90572	64.47	99.99	0.56	2	22	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__JAUYQR01;s__Unclassified	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Nylarskeriana;s__Nylarskeriana proxima	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Paracoccaceae;g__Incertae Sedis;s__uncultured bacterium	99.3	MFD02832	Denmark	14.7874	55.0538	Sediment	Saltwater	Open sea and tidal areas
MFD04428.bin.1.4	Y	Hennevivens	glebicus	N.L.	masch.	Microbe found nearby Henne	A species found in soil	Formerly ''DAHVFK01'' in GTDB R220	Formerly ''uncultured proteobacterium'' in Silva 138.2	GTDB marker genes and 16S rRNA	GCA_963739205.1	Oxford Nanopore PromethION	mmlong2	3916352	6	59.82706	68.02	100	0.12	1	22	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__SG8-39;g__DAHVFK01;s__Unclassified	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Henneviventaceae;g__Hennevivens;s__Hennevivens glebicus	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Nitrosomonadaceae;g__MND1;s__uncultured proteobacterium	98.9	MFD04428	Denmark	8.3158	55.7148	Soil	Grassland formations	Molinia meadows
MFD02199.bin.2.61	Y	Herslevibacter	propinquus	N.L.	masch.	Microbe found nearby Herslev	A species related to but distinct from the existing species	Formerly ''PALSA-612'' in GTDB R220	sp. nov.	GTDB marker genes and 16S rRNA	GCA_963773055.1	Oxford Nanopore PromethION	mmlong2	3038831	6	18.642382	69.04	90.24	0.19	1	23	d__Bacteria;p__Actinomycetota;c__Thermoleophilia;o__Gaiellales;f__Gaiellaceae;g__PALSA-612;s__Unclassified	d__Bacteria;p__Actinomycetota;c__Thermoleophilia;o__Gaiellales;f__Gaiellaceae;g__Herslevibacter;s__Herslevibacter propinquus	d__Bacteria;p__Actinomycetota;c__Thermoleophilia;o__Gaiellales;f__Incertae Sedis;g__Incertae Sedis;s__uncultured bacterium	97.7	MFD02199	Denmark	9.655	55.5948	Soil	Grassland formations	Hydrophilous tall-herb swamp
MFD07737.bin.1.43	Y	Vrouevita	terrea	N.L.	fem.	Microbe found nearby Vroue	A species found in soil	Formerly ''JAICUY01'' in GTDB R220	sp. nov.	GTDB marker genes and 16S rRNA	GCA_963716585.1	Oxford Nanopore PromethION	mmlong2	2226610	6	15.95206	69.41	95.04	0.83	1	22	d__Bacteria;p__Chloroflexota;c__Limnocylindria;o__QHBO01;f__QHBO01;g__JAICUY01;s__Unclassified	d__Bacteria;p__Chloroflexota;c__Limnocylindria;o__Vrouevitales;f__Vrouevitaceae;g__Vrouevita;s__Vrouevita terrea	d__Bacteria;p__Chloroflexota;c__Gitt-GS-136;o__Incertae Sedis;f__Incertae Sedis;g__Incertae Sedis;s__uncultured Chloroflexi bacterium	97.3	MFD07737	Denmark	9.081092275	56.43949598	Soil	Fields	"Grass, Clover, Rotation"
MFD10071.bin.1.144	Y	Thorningiella	humica	N.L.	fem.	Microbe found nearby Thorning	A species found in soil	Formerly ''Palsa-295'' in GTDB R220	Formerly ''uncultured bacterium'' in Silva 138.2	GTDB marker genes and 16S rRNA	GCA_963696715.1	Oxford Nanopore PromethION	mmlong2	5568331	7	27.03551	55.59	95.21	1.19	1	23	d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__Acidoferrales;f__UBA7541;g__Palsa-295;s__Unclassified	d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__Acidoferrales;f__UBA7541;g__Thorningiella;s__Thorningiella humica	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Subgroup 2;f__Incertae Sedis;g__Incertae Sedis;s__uncultured bacterium	99.4	MFD10071	Denmark	9.26934	56.24389	Soil	Temperate heath and scrub	Dry heath
MFD03899.bin.1.137	Y	Tranbjergivita	borealis	N.L.	fem.	Microbe found nearby Tranbjerg	A species from the north	Formerly ''JAFGAS01'' in GTDB R220	sp. nov.	GTDB marker genes and 16S rRNA	GCA_963848155.1	Oxford Nanopore PromethION	mmlong2	3495107	7	25.76707	58.41	91.64	3.65	1	23	d__Bacteria;p__Desulfobacterota;c__Zymogenia;o__Zymogenales;f__JAFGAS01;g__JAFGAS01;s__Unclassified	d__Bacteria;p__Desulfobacterota;c__Zymogenia;o__Zymogenales;f__Tranbjergivitaceae;g__Tranbjergivita;s__Tranbjergivita borealis	d__Bacteria;p__Thermodesulfobacteriota;c__Incertae Sedis;o__Incertae Sedis;f__Incertae Sedis;g__Incertae Sedis;s__uncultured bacterium	97.4	MFD03899	Denmark	10.1547	56.0667	Sediment	Freshwater	"Rainwater basin, City"
MFD04850.bin.1.280	Y	Skallerupius	terreum	N.L.	masch.	Microbe found nearby Skallerup	A species found in soil	Formerly ''JAIBJN01'' in GTDB R220	Formerly ''uncultured bacterium'' in Silva 138.2	GTDB marker genes and 16S rRNA	GCA_963802795.1	Oxford Nanopore PromethION	mmlong2	3004177	7	17.58442	70.17	93.75	0.33	1	23	d__Bacteria;p__Actinomycetota;c__Thermoleophilia;o__Gaiellales;f__Gaiellaceae;g__JAIBJN01;s__Unclassified	d__Bacteria;p__Actinomycetota;c__Thermoleophilia;o__Gaiellales;f__Gaiellaceae;g__Skallerupius;s__Skallerupius terreum	d__Bacteria;p__Actinomycetota;c__Thermoleophilia;o__Gaiellales;f__Incertae Sedis;g__Incertae Sedis;s__uncultured bacterium	98.9	MFD04850	Denmark	8.6134	56.8489	Soil	Grassland formations	Calcareous grassland
MFD07737.bin.1.47	Y	Smollerupiana	glebica	N.L.	fem.	Microbe found nearby Smollerup	A species found in soil	Formerly ''JACDDX01'' in GTDB R220	Formerly ''uncultured Gemmatimonadetes bacterium'' in Silva 138.2	GTDB marker genes and 16S rRNA	GCA_963751925.1	Oxford Nanopore PromethION	mmlong2	3676362	7	15.09619	63.28	97.92	2.06	1	23	d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__GWC2-71-9;g__JACDDX01;s__Unclassified	d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__Siemiabaceae;g__Smollerupiana;s__Smollerupiana glebica	d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadia;o__Gemmatimonadales;f__Gemmatimonadaceae;g__Incertae Sedis;s__uncultured Gemmatimonadetes bacterium	99.4	MFD07737	Denmark	9.081092275	56.43949598	Soil	Fields	"Grass, Clover, Rotation"
MFD10071.bin.1.145	Y	Kragelundicola	terrestris	N.L.	masch.	Microbe found nearby Kragelund	A species found in soil	Formerly ''AP-15'' in GTDB R220	Formerly ''uncultured bacterium'' in Silva 138.2	GTDB marker genes and 16S rRNA	GCA_963703745.1	Oxford Nanopore PromethION	mmlong2	6972275	8	73.79845	62.89	98.54	0.73	2	23	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__ATCC43930;f__Stellaceae;g__AP-15;s__Unclassified	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__ATCC43930;f__Stellaceae;g__Kragelundicola;s__Kragelundicola terrestris	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Elsterales;f__Incertae Sedis;g__Incertae Sedis;s__uncultured bacterium	98.8	MFD10071	Denmark	9.26934	56.24389	Soil	Temperate heath and scrub	Dry heath
MFD01138.bin.1.34	Y	Haesingesoma	proximum	N.L.	neut.	Microbe found nearby Oester Haesinge	A species related to but distinct from the existing species	Formerly ''Bog-756'' in GTDB R220	sp. nov.	GTDB marker genes and 16S rRNA	GCA_963745195.1	Oxford Nanopore PromethION	mmlong2	4911976	8	37.600792	67.26	93.4	4.64	1	23	d__Bacteria;p__Actinomycetota;c__Acidimicrobiia;o__Acidimicrobiales;f__RAAP-2;g__Bog-756;s__Unclassified	d__Bacteria;p__Actinomycetota;c__Acidimicrobiia;o__Acidimicrobiales;f__Vonsildianaceae;g__Haesingesoma;s__Haesingesoma proximum	d__Bacteria;p__Actinomycetota;c__Acidimicrobiia;o__Acidimicrobiales;f__Acidimicrobiaceae;g__Incertae Sedis;s__uncultured bacterium	97.7	MFD01138	Denmark	10.269441	55.134551	Soil	Forests	Beech forests Luzulo-Fagetum
