bin	sub	contig	type	start	end	strand	prot	prot_abrv	prot_name	prot_db
OWC_0011	pAgo_S2B	OWC_0011_k121_19113944	cds	2274	3704	-	ICNFAJ_06560		Protein argonaute	SO:0001217, UniRef:UniRef50_A0A933G096
OWC_0011	pAgo_S2B	OWC_0011_k121_19113944	cds	3694	5007	-	ICNFAJ_06565		HNH endonuclease	SO:0001217, UniRef:UniRef50_A0A2W4UHZ7
OWC_0011	AbiE	OWC_0011_k121_24770254	cds	24	659	+	ICNFAJ_07410		Transcriptional regulator	SO:0001217, UniRef:UniRef50_A0A6L8DUB0
OWC_0011	AbiE	OWC_0011_k121_24770254	cds	656	1621	+	ICNFAJ_07415		Nucleotidyl transferase AbiEii/AbiGii toxin family protein	SO:0001217, UniRef:UniRef50_A0A7X4I318
OWC_0015	CapRel	OWC_0015_k121_7639966	cds	5900	6964	-	GMBMAE_02550		hypothetical protein	
OWC_0015	CAS_Cluster	OWC_0015_k121_11840190	cds	5124	5714	-	GMBMAE_03820		hypothetical protein	PFAM:PF12705.11
OWC_0015	CAS_Cluster	OWC_0015_k121_11840190	cds	5724	6017	-	GMBMAE_03825		hypothetical protein	
OWC_0015	CAS_Cluster	OWC_0015_k121_11840190	cds	6029	6997	-	GMBMAE_03830		hypothetical protein	
OWC_0015	CAS_Cluster	OWC_0015_k121_11840190	cds	6997	7674	-	GMBMAE_03835		hypothetical protein	PFAM:PF17262.6, PFAM:PF17955.5
OWC_0015	AbiE	OWC_0015_k121_11840190	cds	8685	9407	-	GMBMAE_03850		hypothetical protein	PFAM:PF08843.15
OWC_0015	AbiE	OWC_0015_k121_11840190	cds	9444	10091	-	GMBMAE_03855		AbiEi antitoxin C-terminal domain-containing protein	SO:0001217, UniRef:UniRef50_A0A2W1B5W5
OWC_0015	RM_Type_II	OWC_0015_k121_16761344	cds	72	824	-	GMBMAE_05980		hypothetical protein	PFAM:PF01170.22, PFAM:PF08241.16
OWC_0015	RM_Type_II	OWC_0015_k121_16761344	cds	1032	1799	+	GMBMAE_05985		Dam-replacing protein HTH domain-containing protein	SO:0001217, UniRef:UniRef50_A0A1F8XRP6
OWC_0015	RM_Type_II	OWC_0015_k121_16761344	cds	2689	3333	+	GMBMAE_05995		Restriction endonuclease	SO:0001217, UniRef:UniRef50_A0A259Q2K4
OWC_0021	RM_Type_IV	OWC_0021_scaffold_36777	cds	740	1660	+	IGLGEG_01445		AAA+ ATPase domain-containing protein	SO:0001217, UniRef:UniRef50_A0A235IGF0
OWC_0021	RM_Type_IV	OWC_0021_scaffold_36777	cds	1657	2571	+	IGLGEG_01450		hypothetical protein	
OWC_0022	RM_Type_IIG	OWC_0022_scaffold_5821	cds	2832	4217	-	KJICNC_04565		hypothetical protein	PFAM:PF01170.22, PFAM:PF20473.2
OWC_0023	CAS_Class1-Subtype-I-G	OWC_0023_k121_11299258	cds	33	2153	+	FNLLJE_06505		CRISPR-associated helicase Cas3	SO:0001217, UniRef:UniRef50_D5MKX2
OWC_0023	CAS_Class1-Subtype-I-G	OWC_0023_k121_11299258	cds	2150	4546	+	FNLLJE_06510		hypothetical protein	
OWC_0023	CAS_Class1-Subtype-I-G	OWC_0023_k121_11299258	cds	4590	5594	+	FNLLJE_06515		hypothetical protein	
OWC_0023	CAS_Class1-Subtype-I-G	OWC_0023_k121_11299258	cds	5606	7075	+	FNLLJE_06520		hypothetical protein	
OWC_0023	CAS_Class1-Subtype-III-D	OWC_0023_k121_12901797	cds	6809	8692	+	FNLLJE_07450		hypothetical protein	
OWC_0023	CAS_Class1-Subtype-III-D	OWC_0023_k121_12901797	cds	8697	9611	+	FNLLJE_07455		CRISPR-associated RAMP protein	SO:0001217, UniRef:UniRef50_A0A3M0Y0A3
OWC_0023	CAS_Class1-Subtype-I-D	OWC_0023_k121_17257105	cds	1189	2136	+	FNLLJE_08890		Type I-D CRISPR-associated protein Cas7/Csc2	SO:0001217, UniRef:UniRef50_C9R983
OWC_0023	CAS_Class1-Subtype-I-D	OWC_0023_k121_17257105	cds	2143	2922	+	FNLLJE_08895		hypothetical protein	SO:0001217, UniRef:UniRef50_C9R982
OWC_0023	CAS_Class1-Subtype-I-D	OWC_0023_k121_17257105	cds	4355	5434	-	FNLLJE_08910		hypothetical protein	
OWC_0023	CAS_Cluster	OWC_0023_k121_27312076	cds	308	1240	-	FNLLJE_11010		hypothetical protein	
OWC_0023	CAS_Cluster	OWC_0023_k121_27312076	cds	1264	1872	-	FNLLJE_11015		hypothetical protein	PFAM:PF12705.11
OWC_0023	CAS_Cluster	OWC_0023_k121_27312076	cds	1869	2147	-	FNLLJE_11020		hypothetical protein	
OWC_0023	CAS_Cluster	OWC_0023_k121_27312076	cds	2217	2726	-	FNLLJE_11025		hypothetical protein	
OWC_0034	RM_Type_II	OWC_0034_scaffold_7134	cds	3668	4732	+	PFAAGF_07260		hypothetical protein	
OWC_0034	RM_Type_II	OWC_0034_scaffold_7134	cds	4907	5332	+	PFAAGF_07265		hypothetical protein	
OWC_0037	CAS_Class1-Subtype-III-D	OWC_0037_k121_16011548	cds	511	1308	-	AEBFOO_04530		hypothetical protein	
OWC_0037	CAS_Class1-Subtype-III-D	OWC_0037_k121_16011548	cds	1308	1889	-	AEBFOO_04535		hypothetical protein	
OWC_0037	CAS_Class1-Subtype-III-D	OWC_0037_k121_16011548	cds	3450	4109	-	AEBFOO_04550		hypothetical protein	
OWC_0037	CAS_Cluster	OWC_0037_k121_20122695	cds	577	1572	+	AEBFOO_06230		hypothetical protein	
OWC_0037	CAS_Cluster	OWC_0037_k121_20122695	cds	1569	1856	+	AEBFOO_06235		hypothetical protein	
OWC_0038	CAS_Class1-Subtype-III-A	OWC_0038_k121_26079827	cds	40	1626	+	MOCAKG_14305		hypothetical protein	PFAM:PF18211.5
OWC_0038	CAS_Class1-Subtype-III-A	OWC_0038_k121_26079827	cds	1656	2162	+	MOCAKG_14310		hypothetical protein	
OWC_0038	CAS_Class1-Subtype-III-A	OWC_0038_k121_26079827	cds	2175	2903	+	MOCAKG_14315		hypothetical protein	
OWC_0048	GasderMIN	OWC_0048_k121_44279586	cds	898	1680	+	DMEEOO_00325		hypothetical protein	
OWC_0048	RM_Type_IV	OWC_0048_k121_44279586	cds	7677	8618	+	DMEEOO_00355		hypothetical protein	PFAM:PF07728.18
OWC_0049	RM_Type_IIG	OWC_0049_k121_2897046	cds	32692	34869	-	CBDDCP_02885		site-specific DNA-methyltransferase (adenine-specific)	SO:0001217, UniRef:UniRef50_A0A7X7ZL85
OWC_0049	AbiE	OWC_0049_k121_3286868	cds	2885	3643	+	CBDDCP_03365		hypothetical protein	PFAM:PF09407.14
OWC_0049	AbiE	OWC_0049_k121_3286868	cds	3685	4422	+	CBDDCP_03370		hypothetical protein	PFAM:PF08843.15
OWC_0049	CAS_Cluster	OWC_0049_k121_9521326	cds	623	1618	+	CBDDCP_07680		hypothetical protein	
OWC_0049	CAS_Cluster	OWC_0049_k121_9521326	cds	1641	1928	+	CBDDCP_07685		hypothetical protein	
OWC_0049	PsyrTA	OWC_0049_k121_10246389	cds	1687	3024	-	CBDDCP_08080		hypothetical protein	
OWC_0049	PsyrTA	OWC_0049_k121_10246389	cds	3021	5120	-	CBDDCP_08085	recQ	ATP-dependent DNA helicase RecQ	SO:0001217, UniRef:UniRef50_A0A1B1Q331
OWC_0049	CAS_Class1-Subtype-III-B	OWC_0049_k121_11549224	cds	4548	5342	+	CBDDCP_08595		hypothetical protein	
OWC_0049	CAS_Class1-Subtype-III-B	OWC_0049_k121_11549224	cds	5419	6846	+	CBDDCP_08600		hypothetical protein	
OWC_0049	CAS_Class1-Subtype-III-B	OWC_0049_k121_11549224	cds	6843	8774	+	CBDDCP_08605		hypothetical protein	PFAM:PF12469.12
OWC_0049	CAS_Class1-Subtype-III-B	OWC_0049_k121_11549224	cds	8771	10039	+	CBDDCP_08610		hypothetical protein	
OWC_0049	CAS_Class1-Subtype-III-B	OWC_0049_k121_11549224	cds	10043	10954	+	CBDDCP_08615		hypothetical protein	
OWC_0049	CAS_Class1-Subtype-III-B	OWC_0049_k121_11549224	cds	10960	11328	+	CBDDCP_08620		hypothetical protein	
OWC_0049	CAS_Class1-Subtype-III-B	OWC_0049_k121_11549224	cds	11325	12500	+	CBDDCP_08625		hypothetical protein	
OWC_0049	RM_Type_I	OWC_0049_k121_13006743	cds	10364	11875	-	CBDDCP_09145		site-specific DNA-methyltransferase (adenine-specific)	SO:0001217, UniRef:UniRef50_C6CR16
OWC_0049	RM_Type_I	OWC_0049_k121_13006743	cds	16578	19412	-	CBDDCP_09170		hypothetical protein	PFAM:PF00270.33, PFAM:PF00271.35
OWC_0049	CAS_Class1-Subtype-I-B	OWC_0049_k121_14547214	cds	9237	11114	+	CBDDCP_09575		hypothetical protein	
OWC_0049	CAS_Class1-Subtype-I-B	OWC_0049_k121_14547214	cds	11098	12102	+	CBDDCP_09580		hypothetical protein	
OWC_0049	CAS_Class1-Subtype-I-B	OWC_0049_k121_14547214	cds	12108	12812	+	CBDDCP_09585		hypothetical protein	
OWC_0049	CAS_Class1-Subtype-I-B	OWC_0049_k121_14547214	cds	12790	15198	+	CBDDCP_09590		hypothetical protein	PFAM:PF00270.33, PFAM:PF00271.35, PFAM:PF18019.5
OWC_0049	CAS_Class1-Subtype-I-B	OWC_0049_k121_14547214	cds	15195	15869	+	CBDDCP_09595		hypothetical protein	PFAM:PF17262.6, PFAM:PF17955.5
OWC_0049	CAS_Class1-Subtype-I-B	OWC_0049_k121_14547214	cds	15873	16847	+	CBDDCP_09600		hypothetical protein	
OWC_0049	CAS_Class1-Subtype-I-B	OWC_0049_k121_14547214	cds	16855	17148	+	CBDDCP_09605		hypothetical protein	
OWC_0049	CAS_Class1-Subtype-I-B	OWC_0049_k121_14547214	cds	17154	17744	+	CBDDCP_09610		hypothetical protein	PFAM:PF12705.11
OWC_0056	RM_Type_I	OWC_0056_k121_13858047	cds	468	1925	-	KJFLPH_07990		site-specific DNA-methyltransferase (adenine-specific)	SO:0001217, UniRef:UniRef50_W7Q718
OWC_0056	RM_Type_I	OWC_0056_k121_13858047	cds	1956	4262	-	KJFLPH_07995		type I site-specific deoxyribonuclease	SO:0001217, UniRef:UniRef50_B5D2R3
OWC_0056	CAS_Cluster	OWC_0056_k121_26969061	cds	1822	2817	+	KJFLPH_10820		hypothetical protein	
OWC_0056	CAS_Cluster	OWC_0056_k121_26969061	cds	2830	3117	+	KJFLPH_10825		hypothetical protein	
OWC_0057	RM_Type_II	OWC_0057_scaffold00093	cds	47627	49921	-	JAAHJL_07650		hypothetical protein	PFAM:PF02518.30, PFAM:PF13589.10
OWC_0057	RM_Type_II	OWC_0057_scaffold00093	cds	49922	51118	-	JAAHJL_07655		Cytosine-specific methyltransferase	SO:0001217, UniRef:UniRef50_A0A0G1IE38
OWC_0057	Dnd_ABCDE	OWC_0057_scaffold00093	cds	53190	55181	-	JAAHJL_07680		hypothetical protein	PFAM:PF13476.10, PFAM:PF13514.10
OWC_0057	Dnd_ABCDE	OWC_0057_scaffold00093	cds	60634	61797	-	JAAHJL_07705		hypothetical protein	PFAM:PF00155.25, PFAM:PF00266.23, PFAM:PF01041.21, PFAM:PF01212.25
OWC_0057	Dnd_ABCDE	OWC_0057_scaffold00093	cds	61787	62209	-	JAAHJL_07710		hypothetical protein	PFAM:PF08870.15
OWC_0057	Dnd_ABCDE	OWC_0057_scaffold00093	cds	62206	64227	-	JAAHJL_07715		hypothetical protein	PFAM:PF13304.10, PFAM:PF13476.10
OWC_0057	Dnd_ABCDE	OWC_0057_scaffold00093	cds	64237	65715	-	JAAHJL_07720		hypothetical protein	
OWC_0057	Dnd_ABCDE	OWC_0057_scaffold00093	cds	65712	66854	-	JAAHJL_07725	dndB	DNA sulfur modification protein DndB	SO:0001217, UniRef:UniRef50_A0A517PBN7
OWC_0058	Shedu	OWC_0058_scaffold00006	cds	232590	233489	+	KILFMP_01280		hypothetical protein	PFAM:PF14082.10
OWC_0058	RM_Type_II	OWC_0058_scaffold00006	cds	288868	291162	-	KILFMP_01610		hypothetical protein	PFAM:PF02518.30, PFAM:PF13589.10
OWC_0058	RM_Type_II	OWC_0058_scaffold00006	cds	291162	292376	-	KILFMP_01615		Cytosine-specific methyltransferase	SO:0001217, UniRef:UniRef50_A0A937TFE3
OWC_0058	AbiE	OWC_0058_scaffold00007	cds	86913	87707	-	KILFMP_02210		hypothetical protein	PFAM:PF08843.15
OWC_0058	AbiE	OWC_0058_scaffold00007	cds	87704	88462	-	KILFMP_02215		hypothetical protein	PFAM:PF09407.14
OWC_0058	Avs_IV	OWC_0058_scaffold00007	cds	89263	94386	-	KILFMP_02220		hypothetical protein	
OWC_0058	CAS_Class1-Subtype-I-C	OWC_0058_scaffold00010	cds	204921	205211	-	KILFMP_03980		CRISPR-associated endoribonuclease Cas2	SO:0001217, UniRef:UniRef50_A0A1V5KYQ7
OWC_0058	CAS_Class1-Subtype-I-C	OWC_0058_scaffold00010	cds	205222	206253	-	KILFMP_03985		CRISPR-associated endonuclease Cas1 1	SO:0001217, UniRef:UniRef50_Q8KDC4
OWC_0058	CAS_Class1-Subtype-I-C	OWC_0058_scaffold00010	cds	206305	206991	-	KILFMP_03990		CRISPR-associated exonuclease Cas4	SO:0001217, UniRef:UniRef50_A0A7V0TM57
OWC_0058	CAS_Class1-Subtype-I-C	OWC_0058_scaffold00010	cds	206988	207839	-	KILFMP_03995		CRISPR-associated protein Csd2	SO:0001217, UniRef:UniRef50_A0A3A4DP81
OWC_0058	CAS_Class1-Subtype-I-C	OWC_0058_scaffold00010	cds	207836	209719	-	KILFMP_04000		hypothetical protein	
OWC_0058	CAS_Class1-Subtype-I-C	OWC_0058_scaffold00010	cds	209716	210381	-	KILFMP_04005		pre-crRNA processing endonuclease	SO:0001217, UniRef:UniRef50_A0A0U5FJT4
OWC_0058	CAS_Class1-Subtype-I-C	OWC_0058_scaffold00010	cds	210390	212591	-	KILFMP_04010		hypothetical protein	PFAM:PF00270.33, PFAM:PF00271.35
OWC_0058	Shango	OWC_0058_scaffold00020	cds	75230	77590	+	KILFMP_05290		hypothetical protein	PFAM:PF15615.10
OWC_0058	Shango	OWC_0058_scaffold00020	cds	77618	78964	+	KILFMP_05295		hypothetical protein	PFAM:PF10923.12
OWC_0058	Shango	OWC_0058_scaffold00020	cds	78982	81132	+	KILFMP_05300		hypothetical protein	PFAM:PF00270.33, PFAM:PF00271.35
OWC_0058	Rst_HelicaseDUF2290	OWC_0058_scaffold00020	cds	133001	133723	-	KILFMP_05595		hypothetical protein	
OWC_0058	Rst_HelicaseDUF2290	OWC_0058_scaffold00020	cds	133710	135893	-	KILFMP_05600		DEAD/DEAH box helicase family protein	SO:0001217, UniRef:UniRef50_A0A7X8CIL5
OWC_0058	RM_Type_IIG	OWC_0058_scaffold00035	cds	129143	132121	-	KILFMP_07765		site-specific DNA-methyltransferase (adenine-specific)	SO:0001217, UniRef:UniRef50_A0A356EP20
OWC_0058	CAS_Class1-Subtype-I-B	OWC_0058_scaffold00145	cds	40457	41050	-	KILFMP_09790		hypothetical protein	PFAM:PF12705.11
OWC_0058	CAS_Class1-Subtype-I-B	OWC_0058_scaffold00145	cds	41053	41346	-	KILFMP_09795		hypothetical protein	
OWC_0058	CAS_Class1-Subtype-I-B	OWC_0058_scaffold00145	cds	41356	42324	-	KILFMP_09800		hypothetical protein	
OWC_0058	CAS_Class1-Subtype-I-B	OWC_0058_scaffold00145	cds	42331	42999	-	KILFMP_09805		hypothetical protein	PFAM:PF17262.6, PFAM:PF17955.5
OWC_0058	CAS_Class1-Subtype-I-B	OWC_0058_scaffold00145	cds	42996	45239	-	KILFMP_09810		hypothetical protein	PFAM:PF00270.33, PFAM:PF00271.35, PFAM:PF18019.5
OWC_0058	CAS_Class1-Subtype-I-B	OWC_0058_scaffold00145	cds	45236	45970	-	KILFMP_09815		hypothetical protein	
OWC_0058	CAS_Class1-Subtype-I-B	OWC_0058_scaffold00145	cds	45986	46864	-	KILFMP_09820		hypothetical protein	
OWC_0058	CAS_Class1-Subtype-I-B	OWC_0058_scaffold00145	cds	46861	48546	-	KILFMP_09825		hypothetical protein	
OWC_0066	pAgo_S2B	OWC_0066_k121_26774988	cds	442	1518	+	JKOPCH_02490		Protein argonaute	SO:0001217, UniRef:UniRef50_A0A938ZQD1
OWC_0081	AbiE	OWC_0081_scaffold_42953	cds	1173	2078	+	KEANBK_07170		AbiEi antitoxin C-terminal domain-containing protein	SO:0001217, UniRef:UniRef50_A0A1V6HPP7
OWC_0081	AbiE	OWC_0081_scaffold_42953	cds	2075	2665	+	KEANBK_07175		Nucleotidyl transferase AbiEii toxin, Type IV TA system	SO:0001217, UniRef:UniRef50_A0A918Q0J7
OWC_0087	Wadjet_I	OWC_0087_k121_6368946	cds	2214	3656	+	MNJPNF_04535		DUF3375 domain-containing protein	SO:0001217, UniRef:UniRef50_M1PDI0
OWC_0087	Wadjet_I	OWC_0087_k121_6368946	cds	3653	4285	+	MNJPNF_04540		DUF4194 domain-containing protein	SO:0001217, UniRef:UniRef50_D1BJS2
OWC_0087	Wadjet_I	OWC_0087_k121_6368946	cds	4278	7658	+	MNJPNF_04545		ATP-dependent exonuclease SbcCD, C subunit-like protein	SO:0001217, UniRef:UniRef50_A0A2H0IWJ4
OWC_0087	Wadjet_I	OWC_0087_k121_6368946	cds	7655	8833	+	MNJPNF_04550	jetD	Wadjet protein JetD C-terminal domain-containing protein	SO:0001217, UniRef:UniRef50_A0A2M7N786
OWC_0087	SoFic	OWC_0087_k121_12523720	cds	2659	3828	-	MNJPNF_07660		Protein adenylyltransferase	SO:0001217, UniRef:UniRef50_A0A160MY22
OWC_0089	MazEF	OWC_0089_scaffold_10565	cds	462	716	+	BLOILA_01935	mazE	MazE antitoxin	SO:0001217, UniRef:UniRef50_N1NFW9
OWC_0089	MazEF	OWC_0089_scaffold_10565	cds	716	1048	+	BLOILA_01940		Type II toxin-antitoxin system PemK/MazF family toxin	SO:0001217, UniRef:UniRef50_A0A970JQC4
OWC_0092	RM_Type_II	OWC_0092_scaffold_4020	cds	1559	2515	-	HDDJDA_02425		Type II restriction enzyme BsuBI	SO:0001217, UniRef:UniRef50_P33562
OWC_0092	RM_Type_II	OWC_0092_scaffold_4020	cds	2512	4212	-	HDDJDA_02430		site-specific DNA-methyltransferase (adenine-specific)	SO:0001217, UniRef:UniRef50_A0A7W9ZF19
OWC_0093	MazEF	OWC_0093_scaffold_72074	cds	636	1013	-	GOLNEG_04540		Type II toxin-antitoxin system PemK/MazF family toxin	SO:0001217, UniRef:UniRef50_A0A809SD43
OWC_0093	MazEF	OWC_0093_scaffold_72074	cds	1007	1261	-	GOLNEG_04545		SpoVT-AbrB domain-containing protein	SO:0001217, UniRef:UniRef50_A0A7J5VUD6
OWC_0093	RM_Type_II	OWC_0093_scaffold_23921	cds	2885	3475	+	GOLNEG_10465		DNA (cytosine-5-)-methyltransferase	SO:0001217, UniRef:UniRef50_A0A2W4QK31
OWC_0093	RM_Type_II	OWC_0093_scaffold_23921	cds	3478	4128	+	GOLNEG_10470		S-adenosylmethionine-binding protein	SO:0001217, UniRef:UniRef50_A0A4P5YL21, UniRef:UniRef90_A0A7Y5DRK6
OWC_0093	CAS_Cluster	OWC_0093_scaffold_104202	cds	373	996	+	GOLNEG_12190		CRISPR-associated exonuclease Cas4	SO:0001217, UniRef:UniRef50_A0A4P9UQW2
OWC_0093	CAS_Cluster	OWC_0093_scaffold_104202	cds	999	2033	+	GOLNEG_12195	cas1c	type I-C CRISPR-associated endonuclease Cas1c	GO:0003676, GO:0004519, GO:0043571, GO:0046872, GO:0051607, SO:0001217, UniRef:UniRef50_A0A7U6QMZ4, UniRef:UniRef90_A0A7Y4RVY7
OWC_0093	CAS_Cluster	OWC_0093_scaffold_104202	cds	2048	2338	+	GOLNEG_12200		CRISPR-associated endoribonuclease Cas2	SO:0001217, UniRef:UniRef50_U2E280
OWC_0094	RM_Type_II	OWC_0094_scaffold14084	cds	2369	3325	-	LKNGKH_02855		Type II site-specific deoxyribonuclease	SO:0001217, UniRef:UniRef50_P33562, UniRef:UniRef90_K2ELE6
OWC_0094	RM_Type_II	OWC_0094_scaffold14084	cds	3322	4797	-	LKNGKH_02860		site-specific DNA-methyltransferase (adenine-specific)	SO:0001217, UniRef:UniRef50_A0A7W9ZF19
OWC_0094	RM_Type_IV	OWC_0094_scaffold64971	cds	1764	2642	-	LKNGKH_08805		restriction endonuclease	SO:0001217, UniRef:UniRef50_A0A941I543, UniRef:UniRef90_UPI001EF1A4B2
OWC_0094	SoFic	OWC_0094_scaffold65931	cds	385	1593	+	LKNGKH_08860		Protein adenylyltransferase	SO:0001217, UniRef:UniRef50_A0A2S6HA62
OWC_0097	CAS_Class1-Subtype-I-E	OWC_0097_k121_11477406	cds	116	421	-	EGBEKF_10130	cas2e	type I-E CRISPR-associated endoribonuclease Cas2e	GO:0004521, GO:0043571, SO:0001217, UniRef:UniRef50_G4SY52, UniRef:UniRef90_G4SY52
OWC_0097	CAS_Class1-Subtype-I-E	OWC_0097_k121_11477406	cds	402	1313	-	EGBEKF_10135	cas1e	type I-E CRISPR-associated endonuclease Cas1e	COG:COG1518, COG:V, GO:0003676, GO:0004520, GO:0043571, GO:0046872, GO:0051607, SO:0001217, UniRef:UniRef50_Q2RY21, UniRef:UniRef90_A0A4P9UV51
OWC_0097	PfiAT	OWC_0097_k121_11477406	cds	1474	1800	-	EGBEKF_10140		Addiction module toxin, RelE/StbE family	SO:0001217, UniRef:UniRef50_G3IX69
OWC_0097	PfiAT	OWC_0097_k121_11477406	cds	1797	2072	-	EGBEKF_10145		Antitoxin	SO:0001217, UniRef:UniRef50_G3IX70, UniRef:UniRef90_G3IX70
OWC_0100	RM_Type_I	OWC_0100_k121_8788325	cds	3204	4994	+	COOJHP_10210		site-specific DNA-methyltransferase (adenine-specific)	SO:0001217, UniRef:UniRef50_A0A972LLA4
OWC_0100	RM_Type_I	OWC_0100_k121_8788325	cds	10336	13503	+	COOJHP_10235		Type I restriction enzyme endonuclease subunit	SO:0001217, UniRef:UniRef50_A0A4R9IIF5
OWC_0100	RM_Type_II	OWC_0100_k121_8420231	cds	2797	4008	+	COOJHP_13565		DNA (cytosine-5-)-methyltransferase	EC:2.1.1.37, KEGG:K00558, SO:0001217, UniRef:UniRef50_A0A961BEI2, UniRef:UniRef90_A0A7T0JL51
OWC_0100	RM_Type_II	OWC_0100_k121_8420231	cds	4005	4649	+	COOJHP_13570		Eco29kI family restriction endonuclease	SO:0001217, UniRef:UniRef50_A0A962FWL6
OWC_0101	CAS_Class1-Subtype-I-C	OWC_0101_k121_14041654	cds	98	736	-	LCOPAF_03375		CRISPR-associated exonuclease Cas4	SO:0001217, UniRef:UniRef50_A0A5Q0BE61
OWC_0101	CAS_Class1-Subtype-I-C	OWC_0101_k121_14041654	cds	1911	2858	-	LCOPAF_03395		Type I-C CRISPR-associated protein Cas7/Csd2	SO:0001217, UniRef:UniRef50_A0A6N0Z5J8
OWC_0101	CAS_Class1-Subtype-I-C	OWC_0101_k121_14041654	cds	2858	4054	-	LCOPAF_03400		hypothetical protein	
OWC_0102	RM_Type_II	OWC_0102_scaffold_138	cds	107	574	-	JCHCFI_01180		Type II restriction endonuclease	SO:0001217, UniParc:UPI000BC4825F, UniRef:UniRef100_A0A257N9V3, UniRef:UniRef50_A0A7X7LG37, UniRef:UniRef90_A0A257N9V3
OWC_0102	RM_Type_II	OWC_0102_scaffold_138	cds	1274	2155	-	JCHCFI_01190	yhdJ	adenine-specific DNA-methyltransferase	GO:0003677, GO:0006306, GO:0008170, SO:0001217, UniParc:UPI000BCD77B9, UniRef:UniRef100_A0A257NCD1, UniRef:UniRef50_A0A7K4CUC4, UniRef:UniRef90_A0A257NCD1
OWC_0102	RM_Type_IIG	OWC_0102_scaffold_3796	cds	609	2009	-	JCHCFI_11810		MmeI-like DNA-methyltransferase domain-containing protein	SO:0001217, UniParc:UPI000BCD0DED, UniRef:UniRef100_A0A257MUR2, UniRef:UniRef50_A0A257MUR2, UniRef:UniRef90_A0A257MUR2
OWC_0102	RM_Type_II	OWC_0102_scaffold_5572	cds	224	1105	-	JCHCFI_12595		Restriction endonuclease	SO:0001217, UniRef:UniRef50_A0A1Y2ZXS9
OWC_0102	RM_Type_II	OWC_0102_scaffold_5572	cds	1461	2516	+	JCHCFI_12605		Cytosine-specific methyltransferase	SO:0001217, UniRef:UniRef50_A0A965MXC0
OWC_0102	MazEF	OWC_0102_scaffold_7826	cds	365	697	-	JCHCFI_13295		mRNA interferase	SO:0001217, UniRef:UniRef50_M1NRJ6
OWC_0102	MazEF	OWC_0102_scaffold_7826	cds	697	954	-	JCHCFI_13300		SpoVT-AbrB domain-containing protein	SO:0001217, UniRef:UniRef50_J0ZGT2
OWC_0103	RM_Type_IIG	OWC_0103_scaffold_2345	cds	7397	8806	+	ICFOIA_03160		putative helicase	SO:0001217, UniRef:UniRef50_A0A3S4Y8W6
OWC_0103	RM_Type_II	OWC_0103_scaffold_5193	cds	7445	8500	-	ICFOIA_05475		Cytosine-specific methyltransferase	SO:0001217, UniRef:UniRef50_A0A965MXC0
